termo,query_api,tipo,did,handle,data,ano,texto,uri
apply,apliquei vaga,calque,did:plc:vedfuipy442rihjrsouoalmb,robertaduarte.com,2024-09-14T17:38:17.678Z,2024,Na Academia usa bastante apliquei para tal vaga. Costume só.,at://did:plc:vedfuipy442rihjrsouoalmb/app.bsky.feed.post/3l44zb3vxoe2o
apply,apliquei vaga,calque,did:plc:vedfuipy442rihjrsouoalmb,robertaduarte.com,2024-09-14T11:17:38.352Z,2024,"Obrigada :( Era uma vaga que precisa de experiência em Python, C/C++ e fluência em inglês... Que são 3 coisas que trabalho diariamente desde 2017 praticamente aí apliquei porque era uma empresa top e a vaga se encaixava comigo.",at://did:plc:vedfuipy442rihjrsouoalmb/app.bsky.feed.post/3l44dyggwry2o
apply,apliquei vaga,calque,did:plc:vedfuipy442rihjrsouoalmb,robertaduarte.com,2024-09-14T11:12:05.550Z,2024,"Ontem, apliquei para um vaga de uma empresa porque a vaga se encaixava demais comigo (foi só um 'vou aplicar pra ver o que dá' até porque estou focada no pos doc MAS quero ter um plano B) Não saiu resultado nem nada mas sei que não vou passar porque muito concorrido. Estou me sentindo um lixo.",at://did:plc:vedfuipy442rihjrsouoalmb/app.bsky.feed.post/3l44doj2wfh22
apply,apliquei vaga,calque,did:plc:brulxibivz35c54lg7iz2k7i,oimeuanjo.bsky.social,2024-09-11T10:37:16.180Z,2024,Apliquei pra vaga de auxiliar administrativo e um dos feedbacks pra não ter sido aceita é “falta de senioridade na posição”… É UMA VAGA DE AUXILIAR!!!!!!!!!!!!!!!!!!,at://did:plc:brulxibivz35c54lg7iz2k7i/app.bsky.feed.post/3l3uqdiohg42s
apply,apliquei vaga,calque,did:plc:a2amw7h3hvpb76i5di5hgwzn,peternura.bsky.social,2024-09-10T18:25:17.052Z,2024,eu apliquei pra uma vaga afirmativa diversa (glbts...) fui rejeitado 10 minutos depois,at://did:plc:a2amw7h3hvpb76i5di5hgwzn/app.bsky.feed.post/3l3szzgoeng24
apply,apliquei vaga,calque,did:plc:zrwezt4xjimryjroyvek7u46,carolansilva.bsky.social,2024-09-10T08:46:39.529Z,2024,"Hj ela me manda email dizendo que não continuará o processo na ""vaga que apliquei"" (eu não apliquei pra nada). E foi assim que não passei para uma vaga de emprego que sequer existe e sequer me inscrevi.",at://did:plc:zrwezt4xjimryjroyvek7u46/app.bsky.feed.post/3l3rzoscwev2x
apply,apliquei vaga,calque,did:plc:tsietonjwhst4a2i7sljds2a,tenhodislexia.bsky.social,2024-09-09T23:29:30.782Z,2024,apliquei pra vaga de estagio de PSICOLOGIA dai me mandam fazer um teste de raciocinio logico de 15 perguntas sendo que 12 era MATEMATICA pura porra eh brincadeira um negocio desse,at://did:plc:tsietonjwhst4a2i7sljds2a/app.bsky.feed.post/3l3r2kjw7tk2t
apply,apliquei vaga,calque,did:plc:suf2cnceiziik45hpcknrjlg,nvrumi.bsky.social,2024-09-08T22:30:18.107Z,2024,apliquei pra uma vaga de enfermeira RT como se eu fosse A Xerecuda. mas se nos requisitos atendo tudo vou aplicar memo 🤙,at://did:plc:suf2cnceiziik45hpcknrjlg/app.bsky.feed.post/3l3ogrrc34g2t
apply,apliquei vaga,calque,did:plc:bpmwvqv5wcpeti5cimpygl6o,moranguinho.bsky.social,2024-09-05T14:39:09.285Z,2024,nunca apliquei pra tanta vaga na minha vida,at://did:plc:bpmwvqv5wcpeti5cimpygl6o/app.bsky.feed.post/3l3g32i633l2l
apply,apliquei vaga,calque,did:plc:rwlryal2je56xvwmigjj73h2,wilcorrea.dev,2024-09-05T00:13:49.872Z,2024,"Eu já apliquei pra uma vaga lá, mas nunca me chamaram",at://did:plc:rwlryal2je56xvwmigjj73h2/app.bsky.feed.post/3l3ekp63fx52t
apply,apliquei vaga,calque,did:plc:u5miuj37x62re6hawf2yvpwz,nicobuzatto.bsky.social,2024-09-04T00:27:58.486Z,2024,tenho um problema que eh: sempre acho que eu consigo aprender qualquer coisa sem problemas hj por exemplo quase me apliquei pra uma vaga administrativa que precisava de excel avançado..sei excel? nao..mas eu aprendo!,at://did:plc:u5miuj37x62re6hawf2yvpwz/app.bsky.feed.post/3l3c2zjrzix27
apply,apliquei vaga,calque,did:plc:ggouozafawz46sgzt6cpumkc,franpoggers.bsky.social,2024-09-03T15:56:09.135Z,2024,amigos apliquei pra uma vaga de estágio me desejem sorte......,at://did:plc:ggouozafawz46sgzt6cpumkc/app.bsky.feed.post/3l3b6ge55p22i
apply,apliquei vaga,calque,did:plc:qmissfmmvcqifrbnjvo3qugp,motherkoschei.bsky.social,2024-09-02T20:15:19.837Z,2024,a menina simplesmente pegando uma tesoura e eu assim por fora pois quando me apliquei para vaga falei que não tinha problema nenhum eutanásia com ratinhos girl,at://did:plc:qmissfmmvcqifrbnjvo3qugp/app.bsky.feed.post/3l374gu4q722i
